Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Elevation,Slope
2016-01-27 16:00:00,46.72178511170508,11.772350808354702,random-0398-no-landslide,99.0,No Rutschung,0.01861572265625,1.39,17.32,4.0666666,17.4,-6.8,886.0,127.0,45.697342,1736,26
2019-09-07 12:00:00,46.93111828649359,10.854353391235664,random-0399-no-landslide,99.0,No Rutschung,67.4591064453125,77.11,92.52,-3.5166667,7.4,-13.6,1104.0,119.0,15.109518,2674,33
2020-07-27 06:00:00,46.821186252301096,11.12717496580091,random-0401-no-landslide,99.0,No Rutschung,45.159423828125,40.29,57.93,3.2958333,16.6,-7.9,718.0,99.0,42.81916,1741,31
2016-08-09 12:00:00,46.67209950038946,10.502611976165198,random-0402-no-landslide,99.0,No Rutschung,38.900238037109375,13.55,7.83,6.5333333,21.3,-6.4,584.0,81.0,42.549778,1255,24
2020-09-28 19:00:00,46.23453583385946,11.449459805996124,random-0403-no-landslide,99.0,No Rutschung,59.8145751953125,19.61,15.28,4.3125,17.2,-6.2,551.0,77.0,49.54232,1727,9
2023-11-06 12:00:00,46.48925082266362,10.657777405504325,random-0404-no-landslide,99.0,No Rutschung,134.122314453125,61.4,64.33,-2.5125,9.4,-12.7,603.0,68.0,17.885641,2617,12
2016-12-05 07:00:00,46.43622229507701,11.68198098178949,random-0405-no-landslide,99.0,No Rutschung,0.100860595703125,9.89,5.65,4.1916666,17.7,-7.0,806.0,116.0,49.0943,1657,18
2016-03-04 01:00:00,46.88101240310093,10.51748241536812,random-0406-no-landslide,99.0,No Rutschung,26.48150634765625,20.91,10.2,3.875,17.7,-8.3,692.0,91.0,35.978233,1670,20
2021-04-27 00:00:00,46.83512953769762,10.700566516035732,random-0407-no-landslide,99.0,No Rutschung,9.7603759765625,15.85,13.74,-5.325,5.3,-15.0,1201.0,121.0,12.573542,2968,19
2018-01-14 05:00:00,46.89807742077289,11.308788711488384,random-0408-no-landslide,99.0,No Rutschung,21.20513916015625,25.95,31.14,4.891667,18.7,-6.4,821.0,115.0,46.10441,1507,19
2020-12-25 18:00:00,46.971222733003465,11.683492590949236,random-0409-no-landslide,99.0,No Rutschung,9.010467529296877,2.49,179.53,-2.2666667,9.0,-12.1,1301.0,147.0,18.837107,2669,15
2024-12-07 20:00:00,46.77691818566341,12.253093552594994,random-0410-no-landslide,99.0,No Rutschung,3.9800000190734863,0.51,0.47,1.4708333,13.5,-8.9,1278.0,160.0,30.80767,2169,15
2018-07-23 18:00:00,46.361867751384224,12.27192289055146,random-0411-no-landslide,99.0,No Rutschung,36.245361328125,68.74,39.16,4.55,17.5,-6.3,1107.0,143.0,39.11203,1681,19
2023-08-02 21:00:00,46.69278303516625,10.626460085556806,random-0412-no-landslide,99.0,No Rutschung,4.08380126953125,5.26,1.81,4.7541666,18.9,-7.6,519.0,69.0,41.144672,1613,17
2022-08-26 11:00:00,46.26585805313382,11.661602182812228,random-0413-no-landslide,99.0,No Rutschung,60.276611328125,66.44,132.49,2.6875,14.9,-7.5,912.0,124.0,44.58091,2058,8
2016-05-24 11:00:00,46.826075713243625,12.312276481741502,random-0414-no-landslide,99.0,No Rutschung,36.33619689941406,56.53,10.86,-0.7583333,10.8,-10.9,1378.0,164.0,24.003426,2476,9
2024-08-19 22:00:00,46.53475737563121,11.612011585304645,random-0415-no-landslide,99.0,No Rutschung,0.0900000035762786,3.02,0.0,3.7833333,17.2,-7.1,777.0,109.0,43.731194,1819,5
2020-12-16 15:00:00,46.58869698518297,11.297457746744138,random-0419-no-landslide,99.0,No Rutschung,0.3941497802734375,139.29,3.52,6.1375,20.2,-5.3,614.0,84.0,46.925423,1393,5
2022-04-15 08:00:00,46.8867755414064,11.486029345441644,random-0420-no-landslide,99.0,No Rutschung,7.1151885986328125,10.8,9.17,4.945833,18.5,-6.1,843.0,119.0,46.32594,1577,10
2023-04-04 12:00:00,46.29501778570402,10.913346903093002,random-0421-no-landslide,99.0,No Rutschung,2.039459228515625,7.23,4.28,1.0625,12.9,-8.8,192.0,26.0,39.260223,2210,15
2019-04-01 23:00:00,46.33397865920743,10.930707706964617,random-0422-no-landslide,99.0,No Rutschung,0.0595703125,0.04,7.16,5.945833,20.2,-6.1,426.0,58.0,48.87726,1344,20
2020-05-26 20:00:00,46.81144629726165,10.55905136969427,random-0423-no-landslide,99.0,No Rutschung,5.333038330078125,29.92,32.1,3.4291666,17.1,-8.8,636.0,83.0,35.348724,1749,10
2018-10-11 19:00:00,46.73763443434778,11.285389077483153,random-0424-no-landslide,99.0,No Rutschung,7.871826171875,6.49,2.27,0.46249998,12.3,-9.6,781.0,98.0,29.374441,2329,23
2024-02-19 07:00:00,46.581463949276426,11.921859982654144,random-0425-no-landslide,99.0,No Rutschung,0.1006622314453125,33.63,0.3,4.75,18.9,-7.3,876.0,128.0,47.6592,1506,5
2019-12-10 07:00:00,46.9410364212108,11.2659540428077,random-0426-no-landslide,99.0,No Rutschung,4.7861328125,9.96,12.42,2.8583333,16.2,-8.2,864.0,119.0,41.40605,1754,14
2024-03-29 23:00:00,46.79843705531487,12.123868975770474,random-0427-no-landslide,99.0,No Rutschung,28.14324951171875,2.7,20.51,2.6708333,15.2,-7.9,1162.0,155.0,35.892635,1999,7
2020-05-13 00:00:00,46.60606506860725,12.116829406971762,random-0428-no-landslide,99.0,No Rutschung,40.01715087890625,36.16,10.35,4.2083335,17.8,-7.3,978.0,138.0,43.67461,1617,15
2019-04-28 18:00:00,46.92076091834969,10.847441988422766,random-0429-no-landslide,99.0,No Rutschung,45.1259765625,8.23,56.38,-4.383333,6.2,-14.3,1160.0,121.0,13.808441,2779,34
