Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K
2023-03-11 00:00:00,46.582572154155315,11.170930925684006,06872b2c-0633-11ef-af62-0242ac120003,2.0,Gleitung rotational/translational,254.3975067138672,265.685302734375,276.572265625
2023-03-11 00:00:00,46.52411707917843,10.93426944572017,dcf2d8b0-b2f3-11ef-bb54-0242ac120012,2.0,Gleitung rotational/translational,255.7837371826172,268.353271484375,276.80029296875
2024-12-03 05:00:00,46.59691874403544,11.094513914729603,b070fca0-f2b2-11ef-a967-0242ac120004,2.0,Gleitung rotational/translational,,,
2024-02-04 05:00:00,46.43282911967888,11.472422927143345,e5cda810-df09-11ef-9618-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-03-06 04:00:00,46.754869616944674,11.874286525138874,1e4adb3a-f513-11ef-979e-0242ac120004,7.0,Komplexe Rutschung,,,
2024-02-06 00:00:00,46.439498128533565,11.47761402508884,42691fd6-f513-11ef-bd00-0242ac120004,2.0,Gleitung rotational/translational,,,
2023-03-11 00:00:00,46.52901221123396,11.27997003803938,d6e19702-96c1-11ef-9efe-0242ac120010,2.0,Gleitung rotational/translational,254.0171356201172,264.689697265625,276.48681640625
2023-03-11 16:00:00,46.455476878802,11.25440447063902,1053efe6-b2f4-11ef-b57a-0242ac120012,2.0,Gleitung rotational/translational,249.60354614257812,267.72412109375,280.243408203125
2024-01-04 08:00:00,46.23927659586938,11.225513058209712,7c84bd1c-df09-11ef-b544-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-01-04 02:00:00,46.3156339924021,11.299530249305365,5ea758b8-df09-11ef-9716-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-01-04 02:00:00,46.322935119263136,11.303619659671785,413c329e-df09-11ef-a08b-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-01-04 02:00:00,46.33341453789939,11.307651372181276,f7b6931a-0bd3-11f0-bc6c-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-01-04 02:00:00,46.573562823121115,11.355977499842693,8f3b63ce-0bb5-11f0-b60f-c270514588df,2.0,Gleitung rotational/translational,,,
2024-01-04 02:00:00,46.542999464422834,11.328247680633824,0e379888-d96f-11ef-9924-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-01-04 02:00:00,46.94452006902365,11.378661593727273,6416a3ae-1388-11f0-864d-c270514588df,5.0,Schnelles Fliessen (Mure),,,
2024-01-04 02:00:00,46.623146051905536,11.51199615031822,8a2e3628-d96e-11ef-bd60-0242ac12000f,7.0,Komplexe Rutschung,,,
2023-07-08 00:00:00,46.61926955856876,11.553090970041982,23919444-96a4-11ef-870d-0242ac120010,5.0,Schnelles Fliessen (Mure),260.742431640625,277.472900390625,285.958251953125
2023-03-07 21:00:00,46.437998417005105,11.47776059362148,6dfbac5c-b087-11ef-b4f7-0242ac120012,5.0,Schnelles Fliessen (Mure),249.1077880859375,264.116943359375,274.532470703125
2023-04-09 00:00:00,46.5587549670059,10.56120267449884,2d851874-06f6-11ef-b897-0242ac120003,2.0,Gleitung rotational/translational,245.84706115722656,262.242431640625,273.106201171875
2020-12-22 16:00:00,46.91227776968499,11.200891000363136,random-0001-no-landslide,99.0,No Rutschung,254.6290283203125,271.3931884765625,278.20751953125
2021-02-25 11:00:00,46.34150960708131,11.61998250690712,random-0002-no-landslide,99.0,No Rutschung,254.15199279785156,273.4169921875,280.059814453125
2019-05-14 21:00:00,46.5592963409465,10.687466121493449,random-0003-no-landslide,99.0,No Rutschung,244.07643127441406,260.840087890625,273.0078125
2025-08-01 22:00:00,46.244237780820875,11.824582059701509,random-0004-no-landslide,99.0,No Rutschung,,,
2024-11-19 00:00:00,46.36004428688617,10.897582234165078,random-0005-no-landslide,99.0,No Rutschung,,,
2017-11-23 23:00:00,46.66875648782121,11.655180738311099,random-0006-no-landslide,99.0,No Rutschung,254.1230010986328,270.4364013671875,272.104736328125
2020-04-26 13:00:00,46.43862080551258,11.308235643451416,random-0007-no-landslide,99.0,No Rutschung,253.91685485839844,271.413818359375,284.344482421875
2021-09-21 08:00:00,46.43927834403183,10.761364813828123,random-0008-no-landslide,99.0,No Rutschung,256.51483154296875,271.811279296875,281.140380859375
2023-04-04 18:00:00,46.504146275203446,11.656872113061226,random-0009-no-landslide,99.0,No Rutschung,244.40965270996094,261.343017578125,272.076416015625
2018-09-28 03:00:00,46.718065594339166,12.108568234269761,random-0010-no-landslide,99.0,No Rutschung,261.6243896484375,278.23974609375,281.27880859375
2024-11-18 16:00:00,46.92299201389599,12.274891724493184,random-0011-no-landslide,99.0,No Rutschung,,,
2024-12-30 05:00:00,46.2409208562964,11.221229360498644,random-0012-no-landslide,99.0,No Rutschung,,,
2021-08-13 04:00:00,46.720188645314785,10.951224459607786,random-0013-no-landslide,99.0,No Rutschung,262.0078125,279.874267578125,289.322998046875
2024-09-21 22:00:00,46.510321993330685,10.824701709863394,random-0014-no-landslide,99.0,No Rutschung,,,
2019-09-01 07:00:00,46.45333138896725,11.739405010188541,random-0015-no-landslide,99.0,No Rutschung,261.507568359375,277.520751953125,286.2880859375
2021-03-13 07:00:00,46.63718858249891,10.889359199766256,random-0016-no-landslide,99.0,No Rutschung,249.5125274658203,263.6552734375,271.4990234375
2019-09-05 09:00:00,46.78617123008912,12.31359811525641,random-0017-no-landslide,99.0,No Rutschung,260.0347900390625,275.689697265625,287.023193359375
2023-04-25 20:00:00,46.658878645809466,12.173805287768266,random-0018-no-landslide,99.0,No Rutschung,246.5765380859375,263.781005859375,275.068603515625
2019-10-09 09:00:00,46.639159130706794,11.11113432249941,random-0019-no-landslide,99.0,No Rutschung,260.96435546875,275.423095703125,279.718505859375
2018-10-18 15:00:00,46.46311304161633,10.585090462075447,random-0020-no-landslide,99.0,No Rutschung,259.05291748046875,274.6070556640625,285.7919921875
2021-02-22 11:00:00,46.617072471478615,11.89797322258725,random-0021-no-landslide,99.0,No Rutschung,255.6143341064453,272.0048828125,275.90283203125
2023-03-26 23:00:00,46.42768230966237,11.635644817016583,random-0022-no-landslide,99.0,No Rutschung,245.33676147460938,263.37109375,275.007568359375
2023-07-10 18:00:00,46.28299747367661,12.000590562068878,random-0023-no-landslide,99.0,No Rutschung,263.7415771484375,281.949462890625,293.46533203125
2017-09-08 05:00:00,46.372175574867704,11.944581241260146,random-0024-no-landslide,99.0,No Rutschung,259.02783203125,273.314697265625,281.368408203125
2022-05-27 20:00:00,46.372266589834524,10.526846067366812,random-0025-no-landslide,99.0,No Rutschung,259.7086181640625,276.97265625,289.098388671875
2020-06-26 00:00:00,46.282634058968945,11.94275911374598,random-0026-no-landslide,99.0,No Rutschung,259.8255615234375,276.2412109375,283.376220703125
2025-08-02 05:00:00,46.849353680064105,10.717187472624373,random-0027-no-landslide,99.0,No Rutschung,,,
2022-07-03 23:00:00,46.70983025189413,11.193931273083795,random-0028-no-landslide,99.0,No Rutschung,261.15234375,279.800048828125,289.254638671875
2018-08-06 19:00:00,46.687361541995045,11.864848947595283,random-0029-no-landslide,99.0,No Rutschung,262.93963623046875,280.996337890625,290.6998291015625
2018-05-27 20:00:00,46.50448016489839,11.550017989958278,random-0030-no-landslide,99.0,No Rutschung,258.6180419921875,275.5260009765625,285.608154296875
2017-10-05 09:00:00,46.39894317349503,11.850119944391583,random-0031-no-landslide,99.0,No Rutschung,260.91748046875,277.518310546875,283.394775390625
2024-02-01 13:00:00,46.604891921576396,11.423893509141278,random-0032-no-landslide,99.0,No Rutschung,,,
2021-03-19 01:00:00,46.54499481798973,10.70787838472773,random-0033-no-landslide,99.0,No Rutschung,239.9261932373047,255.60231018066406,266.275390625
2025-07-19 04:00:00,46.57087504080744,12.1755560252858,random-0034-no-landslide,99.0,No Rutschung,,,
2021-10-01 14:00:00,46.88128803346044,11.451522287932038,random-0035-no-landslide,99.0,No Rutschung,257.7984619140625,274.3485107421875,286.6787109375
2022-05-06 18:00:00,46.37529664097431,11.509996563715681,random-0036-no-landslide,99.0,No Rutschung,254.63511657714844,269.8553466796875,280.074951171875
2024-11-04 21:00:00,46.86182518910443,11.799734747208097,random-0037-no-landslide,99.0,No Rutschung,,,
